,_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,birthplace,birthplace:confidence,date_of_birth,date_of_birth:confidence,race_ethnicity,race_ethnicity:confidence,religion,religion:confidence,sexual_orientation,sexual_orientation:confidence,year_of_award,year_of_award:confidence,award,biourl,birthplace_gold,date_of_birth_gold,movie,person,race_ethnicity_gold,religion_gold,sexual_orientation_gold,year_of_award_gold,Show,Public Average Rating (IMDb),Number Public Votes (IMDb),IMBd title (check for validity),First Air Date,Metascore Pro Rating,Number of Professional Reviewers,Metascore Name (check for validity)
0,670454353,False,finalized,3,2/10/2015 3:45,"Chisinau, Moldova",1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1927,1.0,Best Director,http://www.nndb.com/people/320/000043191/,,,Two Arabian Knights,Lewis Milestone,,,,,Two Arabian Knights,6.7,996,Two Arabian Knights,1927,None,None,Couldnt pull name
1,670454354,False,finalized,3,2/10/2015 2:03,"Glasgow, Scotland",1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,0.6842,1930,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,The Divine Lady,Frank Lloyd,,,,,The Divine Lady,6.2,757,The Divine Lady,1928,None,None,Couldnt pull name
2,670454355,False,finalized,3,2/10/2015 2:05,"Chisinau, Moldova",1.0,30-Sep-1895,1.0,White,1.0,Na,1.0,Straight,1.0,1931,0.6667,Best Director,http://www.nndb.com/people/320/000043191/,,,All Quiet on the Western Front,Lewis Milestone,,,,,All Quiet on the Western Front,8.1,59K,All Quiet on the Western Front,1930,91,16,All Quiet on the Western Front
3,670454356,False,finalized,3,2/10/2015 2:04,"Chicago, Il",1.0,23-Feb-1899,1.0,White,1.0,Na,1.0,Straight,1.0,1932,1.0,Best Director,http://www.nndb.com/people/544/000041421/,,,Skippy,Norman Taurog,,,,,Skippy,Not in IMDb,Not in IMDb," Jonathan Crombie
(1966–2015)
",Not Found,None,None,Couldnt pull name
4,670454357,False,finalized,3,2/10/2015 1:48,"Salt Lake City, Ut",1.0,23-Apr-1894,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1933,1.0,Best Director,http://www.nndb.com/people/292/000044160/,,,Bad Girl,Frank Borzage,,,,,Bad Girl,7.9,2.1K,Bad Girls,1999–2006,None,None,Couldnt pull name
5,670454358,False,finalized,3,2/10/2015 3:50,"Glasgow, Scotland",1.0,2-Feb-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1934,1.0,Best Director,http://www.nndb.com/people/626/000042500/,,,Cavalcade,Frank Lloyd,,,,,Cavalcade,5.9,5K,Cavalcade,1933,None,None,Couldnt pull name
6,670454359,False,finalized,3,2/10/2015 2:07,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1935,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,It Happened One Night,Frank Capra,,,,,It Happened One Night,8.1,99K,It Happened One Night,1934,87,16,It Happened One Night
7,670454360,False,finalized,3,2/10/2015 1:46,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1936,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,The Informer,John Ford,,,,,The Informer,6.6,31K,The Informer,2019,61,11,The Informer
8,670454361,False,finalized,3,2/10/2015 1:47,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1937,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,Mr. Deeds Goes to Town,Frank Capra,,,,,Mr. Deeds Goes to Town,4.9,1.5K,The Very Excellent Mr. Dundee,2020,None,None,Couldnt pull name
9,670454362,False,finalized,3,2/10/2015 2:05,"Los Angeles, Ca",1.0,3-Oct-1898,1.0,White,1.0,Na,1.0,Straight,1.0,1938,1.0,Best Director,http://www.nndb.com/people/380/000044248/,,,The Awful Truth,Leo McCarey,,,,,The Awful Truth,7.7,19K,The Awful Truth,1937,87,10,The Awful Truth
10,670454363,False,finalized,3,2/10/2015 2:04,"Bisacquino, Sicily, Italy",1.0,18-May-1897,1.0,White,1.0,Roman Catholic,1.0,Straight,1.0,1939,1.0,Best Director,http://www.nndb.com/people/459/000032363/,,,You Can't Take It with You,Frank Capra,,,,,You Can't Take It with You,7.9,25K,You Can't Take It with You,1938,None,None,Couldnt pull name
11,670454364,False,finalized,3,2/10/2015 2:10,"Pasadena, Ca",1.0,23-Feb-1883,1.0,White,1.0,Na,1.0,Straight,1.0,1940,1.0,Best Director,http://www.nndb.com/people/416/000041293/,,,Gone with the Wind,Victor Fleming,,,,,Gone with the Wind,8.1,302K,Gone with the Wind,1939,97,18,Gone with the Wind
12,670454365,False,finalized,3,2/10/2015 2:12,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1941,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,The Grapes of Wrath,John Ford,,,,,The Grapes of Wrath,8.1,90K,The Grapes of Wrath,1940,96,16,The Grapes of Wrath
13,670454366,False,finalized,3,2/10/2015 2:02,"Cape Elizabeth, Me",1.0,1-Feb-1894,1.0,White,1.0,Roman Catholic,1.0,Bisexual,1.0,1942,1.0,Best Director,http://www.nndb.com/people/458/000032362/,,,How Green Was My Valley,John Ford,,,,,How Green Was My Valley,7.7,23K,How Green Was My Valley,1941,88,17,How Green Was My Valley
14,670454367,False,finalized,3,2/10/2015 3:57,"Mulhouse, Haut-Rhin, Alsace, France",1.0,1-Jul-02,1.0,White,1.0,Na,1.0,Straight,1.0,1943,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,Mrs. Miniver,William Wyler,,,,,Mrs. Miniver,7.6,17K,Mrs. Miniver,1942,None,None,Couldnt pull name
15,670454368,False,finalized,3,2/10/2015 2:02,"Budapest, Hungary",1.0,24-Dec-1886,1.0,White,1.0,Na,1.0,Straight,1.0,1944,1.0,Best Director,http://www.nndb.com/people/676/000032580/,,,Casablanca,Michael Curtiz,,,,,Casablanca,8.5,543K,Casablanca,1942,100,18,Casablanca
16,670454369,False,finalized,3,2/10/2015 2:29,"Los Angeles, Ca",1.0,3-Oct-1898,1.0,White,1.0,Na,1.0,Straight,1.0,1945,1.0,Best Director,http://www.nndb.com/people/380/000044248/,,,Going My Way,Leo McCarey,,,,,Going My Way,7.1,11K,Going My Way,1944,None,None,Couldnt pull name
17,670454370,False,finalized,3,2/10/2015 1:55,New York City,1.0,11-Oct-18,1.0,White,1.0,Jewish,1.0,Gay,1.0,1962,1.0,Best Director,http://www.nndb.com/people/281/000064089/,,,West Side Story,Jerome Robbins,,,,,West Side Story,Not in IMDb,Not in IMDb,West Side Story,2021,86,17,West Side Story
18,670454371,False,finalized,3,2/10/2015 4:02,"Sucha, Galicia, Austria",0.6667,22-Jun-06,1.0,White,1.0,Jewish,1.0,Straight,1.0,1946,1.0,Best Director,http://www.nndb.com/people/982/000024910/,,,The Lost Weekend,Billy Wilder,,,,,The Lost Weekend,7.9,35K,The Lost Weekend,1945,None,None,Couldnt pull name
19,670454372,False,finalized,3,2/10/2015 2:12,"Mulhouse, Haut-Rhin, Alsace, France",1.0,1-Jul-02,1.0,White,1.0,Na,1.0,Straight,1.0,1947,1.0,Best Director,http://www.nndb.com/people/463/000032367/,,,The Best Years of Our Lives,William Wyler,,,,,The Best Years of Our Lives,8.1,61K,The Best Years of Our Lives,1946,93,17,The Best Years of Our Lives
20,670454373,False,finalized,3,2/10/2015 1:46,"Istanbul, Turkey",1.0,7-Sep-09,1.0,White,1.0,Na,1.0,Straight,1.0,1948,1.0,Best Director,http://www.nndb.com/people/537/000026459/,,,Gentleman's Agreement,Elia Kazan,,,,,Gentleman's Agreement,7.2,16K,Gentleman's Agreement,1947,None,None,Couldnt pull name
